epoc (ms),timestamp (-0400),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1540421427800,2018-10-24T18.50.27.800,22.301,-0.002048000,-0.002048000,-0.000496125
1540421427901,2018-10-24T18.50.27.901,22.402,-0.002048000,-0.002048000,-0.000495687
1540421428002,2018-10-24T18.50.28.002,22.503,-0.002048000,-0.002048000,-0.000494438
1540421428103,2018-10-24T18.50.28.103,22.604,-0.002048000,-0.002048000,-0.000494562
1540421428204,2018-10-24T18.50.28.204,22.705,-0.002048000,-0.002048000,-0.000494500
1540421428305,2018-10-24T18.50.28.305,22.806,-0.002048000,-0.002048000,-0.000493938
1540421428406,2018-10-24T18.50.28.406,22.907,-0.002048000,-0.002048000,-0.000494938
1540421428506,2018-10-24T18.50.28.506,23.007,-0.002048000,-0.002048000,-0.000494688
1540421428607,2018-10-24T18.50.28.607,23.108,-0.002048000,-0.002048000,-0.000496250
1540421428708,2018-10-24T18.50.28.708,23.209,-0.002048000,-0.002048000,-0.000495375
1540421428809,2018-10-24T18.50.28.809,23.310,-0.002048000,-0.002048000,-0.000496125
1540421428910,2018-10-24T18.50.28.910,23.411,-0.002048000,-0.002048000,-0.000495750
1540421429011,2018-10-24T18.50.29.011,23.512,-0.002048000,-0.002048000,-0.000497563
1540421429112,2018-10-24T18.50.29.112,23.613,-0.002048000,-0.002048000,-0.000497000
1540421429213,2018-10-24T18.50.29.213,23.714,-0.002048000,-0.002048000,-0.000495687
1540421429314,2018-10-24T18.50.29.314,23.815,-0.002048000,-0.002048000,-0.000496063
1540421429414,2018-10-24T18.50.29.414,23.915,-0.002048000,-0.002048000,-0.000496437
1540421429515,2018-10-24T18.50.29.515,24.016,-0.002048000,-0.002048000,-0.000497187
1540421429616,2018-10-24T18.50.29.616,24.117,-0.002048000,-0.002048000,-0.000495500
1540421429717,2018-10-24T18.50.29.717,24.218,-0.002048000,-0.002048000,-0.000491438
1540421429818,2018-10-24T18.50.29.818,24.319,-0.002048000,-0.002048000,-0.000501125
1540421429919,2018-10-24T18.50.29.919,24.420,-0.002048000,-0.002048000,-0.000504625
1540421430020,2018-10-24T18.50.30.020,24.521,-0.002048000,-0.002048000,-0.000509438
