epoc (ms),timestamp (-0400),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1540421413182,2018-10-24T18.50.13.182,8.641,-0.002048000,-0.002048000,-0.000891750
1540421413282,2018-10-24T18.50.13.282,8.741,-0.002048000,-0.002048000,-0.000896562
1540421413380,2018-10-24T18.50.13.380,8.839,-0.002048000,-0.002048000,-0.000900250
1540421413480,2018-10-24T18.50.13.480,8.939,-0.002048000,-0.002048000,-0.000897562
1540421413579,2018-10-24T18.50.13.579,9.038,-0.002048000,-0.002048000,-0.000894063
1540421413679,2018-10-24T18.50.13.679,9.138,-0.002048000,-0.002048000,-0.000898875
1540421413779,2018-10-24T18.50.13.779,9.238,-0.002048000,-0.002048000,-0.000900187
1540421413877,2018-10-24T18.50.13.877,9.336,-0.002048000,-0.002048000,-0.000895687
1540421413976,2018-10-24T18.50.13.976,9.435,-0.002048000,-0.002048000,-0.000891125
1540421414076,2018-10-24T18.50.14.076,9.535,-0.002048000,-0.002048000,-0.000890250
1540421414176,2018-10-24T18.50.14.176,9.635,-0.002048000,-0.002048000,-0.000891125
1540421414275,2018-10-24T18.50.14.275,9.734,-0.002048000,-0.002048000,-0.000893375
1540421414373,2018-10-24T18.50.14.373,9.832,-0.002048000,-0.002048000,-0.000899438
1540421414473,2018-10-24T18.50.14.473,9.932,-0.002048000,-0.002048000,-0.000902000
1540421414573,2018-10-24T18.50.14.573,10.032,-0.002048000,-0.002048000,-0.000904312
1540421414672,2018-10-24T18.50.14.672,10.131,-0.002048000,-0.002048000,-0.000906375
1540421414772,2018-10-24T18.50.14.772,10.231,-0.002048000,-0.002048000,-0.000904500
1540421414870,2018-10-24T18.50.14.870,10.329,-0.002048000,-0.002048000,-0.000899500
1540421414969,2018-10-24T18.50.14.969,10.428,-0.002048000,-0.002048000,-0.000896375
1540421415069,2018-10-24T18.50.15.069,10.528,-0.002048000,-0.002048000,-0.000890688
1540421415169,2018-10-24T18.50.15.169,10.628,-0.002048000,-0.002048000,-0.000887937
1540421415268,2018-10-24T18.50.15.268,10.727,-0.002048000,-0.002048000,-0.000887187
1540421415366,2018-10-24T18.50.15.366,10.825,-0.002048000,-0.002048000,-0.000890625
1540421415466,2018-10-24T18.50.15.466,10.925,-0.002048000,-0.002048000,-0.000895813
1540421415566,2018-10-24T18.50.15.566,11.025,-0.002048000,-0.002048000,-0.000902375
1540421415665,2018-10-24T18.50.15.665,11.124,-0.002048000,-0.002048000,-0.000905562
1540421415765,2018-10-24T18.50.15.765,11.224,-0.002048000,-0.002048000,-0.000905250
1540421415863,2018-10-24T18.50.15.863,11.322,-0.002048000,-0.002048000,-0.000897938
1540421415963,2018-10-24T18.50.15.963,11.422,-0.002048000,-0.002048000,-0.000893875
1540421416062,2018-10-24T18.50.16.062,11.521,-0.002048000,-0.002048000,-0.000888688
1540421416162,2018-10-24T18.50.16.162,11.621,-0.002048000,-0.002048000,-0.000881500
1540421416261,2018-10-24T18.50.16.261,11.720,-0.002048000,-0.002048000,-0.000883188
1540421416360,2018-10-24T18.50.16.360,11.819,-0.002048000,-0.002048000,-0.000885500
1540421416459,2018-10-24T18.50.16.459,11.918,-0.002048000,-0.002048000,-0.000890625
1540421416559,2018-10-24T18.50.16.559,12.018,-0.002048000,-0.002048000,-0.000897312
1540421416658,2018-10-24T18.50.16.658,12.117,-0.002048000,-0.002048000,-0.000904875
1540421416758,2018-10-24T18.50.16.758,12.217,-0.002048000,-0.002048000,-0.000911750
1540421416856,2018-10-24T18.50.16.856,12.315,-0.002048000,-0.002048000,-0.000920562
