epoc (ms),timestamp (-0400),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1540421414723,2018-10-24T18.50.14.723,10.043,-0.002048000,-0.002048000,-0.000047375
1540421414823,2018-10-24T18.50.14.823,10.143,-0.002048000,-0.002048000,-0.000050750
1540421414922,2018-10-24T18.50.14.922,10.242,-0.002048000,-0.002048000,-0.000043625
1540421415022,2018-10-24T18.50.15.022,10.342,-0.002048000,-0.002048000,-0.000039875
1540421415120,2018-10-24T18.50.15.120,10.440,-0.002048000,-0.002048000,-0.000035687
1540421415219,2018-10-24T18.50.15.219,10.539,-0.002048000,-0.002048000,-0.000030062
1540421415319,2018-10-24T18.50.15.319,10.639,-0.002048000,-0.002048000,-0.000024062
1540421415419,2018-10-24T18.50.15.419,10.739,-0.002048000,-0.002048000,-0.000019500
1540421415518,2018-10-24T18.50.15.518,10.838,-0.002048000,-0.002048000,-0.000021437
1540421415618,2018-10-24T18.50.15.618,10.938,-0.002048000,-0.002048000,-0.000030813
1540421415718,2018-10-24T18.50.15.718,11.038,-0.002048000,-0.002048000,-0.000046250
1540421415817,2018-10-24T18.50.15.817,11.137,-0.002048000,-0.002048000,-0.000054500
1540421415915,2018-10-24T18.50.15.915,11.235,-0.002048000,-0.002048000,-0.000048500
1540421416015,2018-10-24T18.50.16.015,11.335,-0.002048000,-0.002048000,-0.000038687
1540421416115,2018-10-24T18.50.16.115,11.435,-0.002048000,-0.002048000,-0.000034938
1540421416214,2018-10-24T18.50.16.214,11.534,-0.002048000,-0.002048000,-0.000033812
1540421416314,2018-10-24T18.50.16.314,11.634,-0.002048000,-0.002048000,-0.000028187
1540421416413,2018-10-24T18.50.16.413,11.733,-0.002048000,-0.002048000,-0.000026687
1540421416513,2018-10-24T18.50.16.513,11.833,-0.002048000,-0.002048000,-0.000026687
1540421416613,2018-10-24T18.50.16.613,11.933,-0.002048000,-0.002048000,-0.000029312
1540421416711,2018-10-24T18.50.16.711,12.031,-0.002048000,-0.002048000,-0.000037250
1540421416810,2018-10-24T18.50.16.810,12.130,-0.002048000,-0.002048000,-0.000052313
